Basic Cards,,,,Price,Base Set,,,,,Intrigue,Intrige,Die Intrige,,,Seaside,Hijs de Zeilen,Seaside,,price,Prosperity,Welvaart,Blütezeit,,Alchemy,Alchemie,Die Alchemisten,,Promo,Promo,Promo,,Cornucopia,Overvloed,Reiche Ernte,,Hinterlands,Het Achterland,Hinterland,,Dark Ages,De Donkere Middeleeuwen,Dark Ages,,Price,Guilds,,Zunft,,
,,,,,Throne Room,Troonzaal,Thronsaal,Salle du trône,4,Torturer,Folteraar,Kerkermeister,Bourreau,5,Smugglers,Smokkelaar,Schmuggler,,3,Trade Route,Handelsroute,Handelsroute,3,,,,,,,,,,,,,Scheme,Gekonkel,Komplott,3,Market Square,,,,3,,,,,
,,,,,Village,Dorp,Dorf,Village,3,Trading Post,Handelspost,Handelsposten,,5,Tactician,Strateeg,Taktiker,,5,Vault,Schatkelder,Gewölbe,5,,,,,,,,,,,,,Silk Road,Zijdenroute,Seidenstrasse,4,Mercenary,,,,*,,,,,
,,,,,Witch,Heks,Hexe,Sorcière,5,Tribute,Tolheffing,Tribut,Hommage,5,Treasure Map,Schatkaart,Schatzkarte,,4,Venture,Waagstuk,Abenteuer,5,,,,,,,,,,,,,Spice Merchant,Specerijenkoopman,Gewürzhändler,4,Mystic,,,,5,,,,,
,,,,,Woodcutter,Houthakker,Holzfäller,Bûcheron,3,Upgrade,Opwaardering,Anbau,Mise à niveau,5,Treasury,Schatkamer,Schatzkammer,,5,Watchtower,Uitkijktoren,,3,,,,,,,,,,,,,Stable,Stallen,Stallungen,5,Pillage,,,,5,,,,,
,,,,,Workshop,Werkplaats,Werkstatt,Atelier,3,Wishing Well,Wensput,Wunschbrunnen,Puit aux souhaits,3,Warehouse,Pakhuis,Lagerhaus,,3,Worker's Village,Arbeidersdorp,,4,,,,,,,,,,,,,Trader,Handelaar,Fahrende Händler,4,Poor House,,,,1,,,,,
,,,,,,,,,,,,,,,Wharf,Scheepswerf,Werft,,5,,,,,,,,,,,,,,,,,Tunnel,Tunnel,Tunnel,3,Procession,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rats,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebuild,,,,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogue,,,,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sage,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scavenger,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spoils,,,,*,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squire,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Storeroom,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urchin,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagrant,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wandering Minstrel,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruins,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knights,,,,5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shelters,,,,*,,,,,
